Genome,Phylum,Paper,Loaded,Complete,Chrs,Plasmids,Genes
Vibrio cholerae O395,Proteobacteria,,25-11-09,yes,2,0,3998
Vibrio cholerae RC385,Proteobacteria,,08-05-07,no,,,3229
Vibrio cholerae V51,Proteobacteria,,08-05-07,no,,,3309
Vibrio cholerae V52,Proteobacteria,,08-05-07,no,,,3906
Vibrio fischeri ES114,Proteobacteria,yes,21-04-09,yes,2,1,3988
Vibrio fischeri MJ11,Proteobacteria,,25-11-09,yes,2,1,4175
Vibrio harveyi ATCC BAA-1116,Proteobacteria,,24-03-08,yes,2,1,6238
Vibrio harveyi HY01,Proteobacteria,,08-05-07,no,,,5065
Vibrio parahaemolyticus 16,Proteobacteria,,21-04-09,no,,,
Vibrio parahaemolyticus AN-5034,Proteobacteria,,21-04-09,no,,,
Vibrio parahaemolyticus AQ3810,Proteobacteria,,08-05-07,no,,,5584
Vibrio parahaemolyticus AQ4037,Proteobacteria,,21-04-09,no,,,
Vibrio parahaemolyticus Peru-466,Proteobacteria,,21-04-09,no,,,
Vibrio parahaemolyticus RIMD 2210633,Proteobacteria,yes,,yes,2,0,4992
Vibrio salmonicida LFI1238,Proteobacteria,,21-04-09,yes,2,6,4425
Vibrio shilonii AK1,Proteobacteria,,24-03-08,no,,,5436
Vibrio sp. Ex25,Proteobacteria,,25-11-09,yes,2,0,4684
Vibrio sp. MED222,Proteobacteria,,08-05-07,no,,,4730
Vibrio splendidus 12B01,Proteobacteria,,08-05-07,no,,,5344
Vibrio splendidus LGP32,Proteobacteria,,24-05-10,yes,2,0,4603
Vibrio vulnificus CMCP6,Proteobacteria,yes,08-05-07,yes,2,0,4612
Vibrio vulnificus YJ016,Proteobacteria,yes,19-10-04,yes,2,1,5167
Vibrionales bacterium SWAT-3,Proteobacteria,,24-03-08,no,,,5500
Victivallis vadensis ATCC BAA-548,Lentisphaerae,,24-03-08,no,,,3591
"Weeksella virosa CL 345/78, DSM 16922",Bacteroidetes,,16-11-10,no,,,2181
Wigglesworthia glossinidia endosymbiont of Glossina brevipalpis,Proteobacteria,yes,08-05-07,yes,1,1,657
Wolbachia endosymbiont of Culex quinquefasciatus JHB,Proteobacteria,,21-04-09,no,,,1415
Wolbachia endosymbiont of Drosophila ananassae,Proteobacteria,,08-05-07,no,,,1806
Wolbachia endosymbiont of Drosophila melanogaster,Proteobacteria,yes,29-06-04,yes,1,0,1309
Wolbachia endosymbiont of Drosophila simulans,Proteobacteria,,08-05-07,no,,,789
Wolbachia endosymbiont of Drosophila willistoni TSC#14030-0811.24,Proteobacteria,,08-05-07,no,,,964
Wolbachia endosymbiont strain TRS of Brugia malayi,Proteobacteria,yes,25-08-05,yes,1,0,940
Wolbachia sp. wRi,Proteobacteria,yes,25-11-09,yes,1,0,1303
Wolinella succinogenes DSM 1740,Proteobacteria,yes,25-11-09,yes,1,0,2091
Xanthobacter autotrophicus Py2,Proteobacteria,,24-03-08,yes,1,1,5155
Xanthomonas albilineans,Proteobacteria,yes,24-05-10,yes,1,0,3172
Xanthomonas axonopodis pv. citri str. 306,Proteobacteria,yes,08-05-07,yes,1,2,4489
Xanthomonas campestris pv. campestris str. 8004,Proteobacteria,yes,25-08-05,yes,1,0,4366
Xanthomonas campestris pv. campestris str. ATCC 33913,Proteobacteria,yes,,yes,1,0,4242
Xanthomonas campestris pv. campestris str. B100,Proteobacteria,yes,21-04-09,yes,1,0,4575
Xanthomonas campestris pv. vesicatoria str. 85-10,Proteobacteria,yes,18-01-06,yes,1,4,4855
Xanthomonas oryzae pv. oryzae KACC10331,Proteobacteria,yes,25-08-05,yes,1,0,4281
Xanthomonas oryzae pv. oryzae MAFF 311018,Proteobacteria,,22-11-06,yes,1,0,4431
Xanthomonas oryzae pv. oryzae PXO99A,Proteobacteria,yes,21-04-09,yes,1,0,5131
Xanthomonas oryzae pv. oryzicola BLS256,Proteobacteria,,08-05-07,no,,,4414
Xenorhabdus bovienii SS-2004,Proteobacteria,,24-05-10,yes,1,0,4415
Xylanimonas cellulosilytica DSM 15894,Actinobacteria,,24-05-10,yes,1,1,3549
Xylella fastidiosa 9a5c,Proteobacteria,yes,,yes,1,2,2904
Xylella fastidiosa ANN1 (oleander) spp.,Proteobacteria,,24-03-08,no,,,4750
Xylella fastidiosa DIXON (almond),Proteobacteria,,24-03-08,no,,,2408
Xylella fastidiosa M12,Proteobacteria,,21-04-09,yes,1,0,2368
Xylella fastidiosa M23,Proteobacteria,,21-04-09,yes,1,1,2320
Xylella fastidiosa Temecula1,Proteobacteria,yes,,yes,1,1,2123
Yersinia bercovieri ATCC 43970,Proteobacteria,,08-05-07,no,,,3579
Yersinia enterocolitica subsp. enterocolitica 8081,Proteobacteria,yes,08-05-07,yes,1,1,4283
Yersinia frederiksenii ATCC 33641,Proteobacteria,,08-05-07,no,,,4168
Yersinia intermedia ATCC 29909,Proteobacteria,,08-05-07,no,,,3886
Yersinia mollaretii ATCC 43969,Proteobacteria,,08-05-07,no,,,3749
Yersinia pestis Angola,Proteobacteria,,25-11-09,yes,1,2,4464
Yersinia pestis Antiqua,Proteobacteria,,22-11-06,yes,1,3,4471
Yersinia pestis biovar Antiqua str. B42003004,Proteobacteria,,24-03-08,no,,,4645
Yersinia pestis biovar Antiqua str. E1979001,Proteobacteria,,24-03-08,no,,,4623
Yersinia pestis biovar Antiqua str. UG05-0454,Proteobacteria,,24-03-08,no,,,4591
Yersinia pestis biovar Mediaevalis str. K1973002,Proteobacteria,,24-03-08,no,,,4564
Yersinia pestis biovar Medievalis str. 91001,Proteobacteria,yes,19-10-04,yes,1,4,4401
Yersinia pestis biovar Orientalis str. F1991016,Proteobacteria,,24-03-08,no,,,4666
Yersinia pestis biovar Orientalis str. IP275,Proteobacteria,,25-11-09,no,,,221
Yersinia pestis biovar Orientalis str. MG05-1020,Proteobacteria,,24-03-08,no,,,4838
Yersinia pestis CA88-4125,Proteobacteria,,24-03-08,no,,,4265
Yersinia pestis CO92,Proteobacteria,yes,,yes,1,3,4316
Yersinia pestis FV-1,Proteobacteria,,08-05-07,no,,,4821
Yersinia pestis KIM,Proteobacteria,yes,08-05-07,yes,1,5,4649
Yersinia pestis Nepal516,Proteobacteria,,22-11-06,yes,1,2,4205
Yersinia pestis Pestoides F,Proteobacteria,,24-03-08,yes,1,2,4264
Yersinia pestis Z176003,Proteobacteria,,24-05-10,yes,1,3,3782
Yersinia pseudotuberculosis IP 31758,Proteobacteria,,24-03-08,yes,1,2,4496
Yersinia pseudotuberculosis IP 32953,Proteobacteria,yes,08-05-07,yes,1,2,4238
Yersinia pseudotuberculosis PB1/+,Proteobacteria,,21-04-09,yes,1,1,4357
Yersinia pseudotuberculosis YPIII,Proteobacteria,,21-04-09,yes,1,0,4313
Zunongwangia profunda SM-A87,Bacteroidetes,yes,24-05-10,yes,1,0,4713
Zymomonas mobilis subsp. mobilis NCIB 11163,Proteobacteria,yes,25-11-09,yes,1,3,1978
Zymomonas mobilis subsp. mobilis ZM4,Proteobacteria,yes,24-05-10,yes,1,5,1975
